ville;abri;ID DSP;ID Autolib;adresse;Code Postal;prises Autolib;prises Tiers T3;type;XY
Créteil;;94028-11;Créteil/Gabriel Fauré/18;18 Rue Gabriel Fauré;94000;6.0;;Voirie;48.778418, 2.462495
Créteil;;94028-16;Créteil/Denfert Rochereau/12;12 rue Denfert Rochereau;94000;6.0;;Voirie;48.791289, 2.450388
Joinville-le-Pont;1.0;94042-03;Joinville-le-Pont/8 mai 1945/1;1 place du 8 mai 1945;94340;6.0;;Voirie;48.816095, 2.466227
Limeil-Brévannes;;94044-05;Limeil-Brévannes/Saint John Perse/20;20 Rue Saint John Perse;94450;7.0;;Voirie;48.751046, 2.473095
Nogent-sur-Marne;;94052-03;Nogent-sur-Marne/Port/27;27 rue du Port;94130;6.0;1;Voirie;48.833134, 2.489646
Rungis;;94065-02;Rungis/Robert Schuman/43;43 avenue Robert Schuman;94150;5.0;1;Voirie;48.746163, 2.354847
Saint-Mandé;1.0;94067-01;Saint-Mandé/Galliéni/178;178 Avenue Galliéni;94160;6.0;;Voirie;48.846866, 2.417283
Saint-Mandé;;94067-09;Saint-Mandé/Daumesnil/11;11 avenue Daumesnil;94160;7.0;;Voirie;48.833829, 2.41388
Villejuif;1.0;94076-03;Villejuif/Paul Vaillant Couturier/9;9 boulevard Paul Vaillant Couturier;94800;6.0;;Voirie;48.795373, 2.367326
Villejuif;;94076-08;Villejuif/Épi d'Or/2;2 avenue de l'Épi d’Or;94800;6.0;;Voirie;48.782401, 2.352617
Villejuif;;94076-09;Villejuif/Maxime Gorki/144;144 boulevard Maxime Gorki;94800;6.0;;Voirie;48.789192, 2.368354
Vincennes;;94080-03;Vincennes/Fontenay/44;44 rue de Fontenay;94300;6.0;1;Voirie;48.84789, 2.443258
Paris;;75117-40;Paris/Jouffroy d'Abbans/108;108 Rue Jouffroy d'Abbans;75017;4.0;2;Voirie;48.882369, 2.301916
Paris;;75117-42;Paris/Ternes/6;6 avenue des Ternes;75017;4.0;1;Voirie;48.878287, 2.296558
Paris;;75117-43;Paris/Saint Ouen/67;67 avenue de Saint Ouen;75017;4.0;1;Voirie;48.891987, 2.326914
Paris;;75118-03;Paris/Vauvenargues/35;35 rue Vauvenargues;75018;4.0;2;Voirie;48.894447, 2.332185
Paris;;75118-13;Paris/Caulaincourt/17;17 rue Caulaincourt;75018;4.0;;Voirie;48.887326, 2.333061
Paris;;75118-15;Paris/Doudeauville/29;29 rue Doudeauville;75018;4.0;2;Voirie;48.888593, 2.355297
Paris;;75118-17;Paris/Duhesme/113;113 Rue Duhesme;75018;4.0;2;Voirie;48.89555, 2.345645
Paris;;75118-33;Paris/Chapelle/75;75 rue de la Chapelle;75018;4.0;;Voirie;48.896931, 2.35874
Paris;;75119-02;Paris/Botzaris/50;50 rue Botzaris;75019;4.0;2;Voirie;48.879076, 2.38364
Paris;;75119-12;Paris/Lorraine/22;22 rue de Lorraine;75019;4.0;;Voirie;48.885685, 2.382957
Paris;;75119-13;Paris/Adolphe Mille/8;8 rue Adolphe Mille;75019;4.0;1;Voirie;48.888621, 2.388834
Paris;;75119-16;Paris/Goubet/8;8 rue Goubet;75019;4.0;2;Voirie;48.885203, 2.390049
Paris;;75119-20;Paris/Meurthe/1;1 Rue de la Meurthe;75019;4.0;2;Voirie;48.889515, 2.383132
Paris;1.0;75119-34;Paris/Flandre/169;169 avenue de Flandre;75019;4.0;1;Voirie;48.894264, 2.381192
Paris;;75119-36;Paris/Secrétan/4;4 Avenue Secrétan;75019;4.0;2;Voirie;48.882169, 2.370818
Nanterre;;92050-19;Nanterre/Pablo Neruda/6;6 Rue Pablo Neruda;92000;6.0;;Voirie;48.895522, 2.2162
Nanterre;;92050-23;Nanterre/Rigault/1;1 Rue Rigault;92000;6.0;;Voirie;48.893288, 2.197917
Nanterre;;92050-24;Nanterre/Aimé Césaire/5;5 Boulevard Aimé Césaire;92000;7.0;;Voirie;48.89392, 2.228438
Nanterre;;92050-26;Nanterre/Lens/13;13 Rue de Lens;92000;6.0;;Voirie;48.900048, 2.22403
Nanterre;;92050-30;Nanterre/Salvador Allende/123;123 Rue Salvador Allende;92000;7.0;;Voirie;48.894156, 2.225452
