OBJECTID;Nom du projet;Adresse du projet;Code postal;Nombre d'arbre;Saison de plantation;Type d'école;Nom de l'école;Numero d'arrondissement;geo_shape;geo_point_2d
1;VERGER EE MICHEL ANGE (51);51 RUE MICHEL ANGE;75016;10;2015 - 2016;Ecole élémentaire;Ecole élémentaire Michel Ange;16ème;"{""type"": ""Point"", ""coordinates"": [2.261296092320336, 48.84391529694617]}";48.8439152969, 2.26129609232
3;VERGER EM LACHAMBEAUDIE (2);2 PLACE LACHAMBEAUDIE;75012;10;2016 - 2017;Ecole maternelle;Ecole maternelle Lachambeaudie;12ème;"{""type"": ""Point"", ""coordinates"": [2.386752191388981, 48.83537717813326]}";48.8353771781, 2.38675219139
10;VERGER EM PELLEPORT (99);99 RUE PELLEPORT;75020;12;2016 - 2017;Ecole maternelle;Ecole maternelle Pelleport;20ème;"{""type"": ""Point"", ""coordinates"": [2.399159996901821, 48.8701331616419]}";48.8701331616, 2.3991599969
16;VERGER EM MADEMOISELLE (83);83 RUE MADEMOISELLE;75015;3;2016 - 2017;Ecole maternelle;Ecole maternelle Mademoiselle;15ème;"{""type"": ""Point"", ""coordinates"": [2.30056018820279, 48.844419591684314]}";48.8444195917, 2.3005601882
22;VERGER EM LONGUES RAIES (29);29 RUE DES LONGUES RAIES;75013;10;2016 - 2017;Ecole maternelle;Ecole maternelle Rue des longues Raies;13ème;"{""type"": ""Point"", ""coordinates"": [2.347554596761625, 48.82071234887272]}";48.8207123489, 2.34755459676
31;VERGER EM MOUFFETARD (29);29 RUE MOUFFETARD;75005;4;2016 - 2017;Ecole maternelle;Ecole maternelle Mouffetard;5ème;"{""type"": ""Point"", ""coordinates"": [2.349783662487916, 48.84390480255002]}";48.8439048026, 2.34978366249
34;VERGER EM PIERRE FONCIN (2);2 RUE PIERRE FONCIN;75020;7;2016 - 2017;Ecole maternelle;Ecole maternelle Pierre Roncin;20ème;"{""type"": ""Point"", ""coordinates"": [2.409279675224769, 48.871052568363666]}";48.8710525684, 2.40927967522
37;VERGER EM ARMAND ROUSSEAU (13);13 AVENUE ARMAND ROUSSEAU;75012;14;2016 - 2017;Ecole maternelle;Ecole maternelle Armand Rousseau;12ème;"{""type"": ""Point"", ""coordinates"": [2.408826987995923, 48.83661285844456]}";48.8366128584, 2.408826988
39;VERGER EM TCHAIKOVSKI (7);7 RUE TCHAIKOVSKI;75018;4;2015 - 2016;Ecole maternelle;Ecole maternelle Tchaikovski;18ème;"{""type"": ""Point"", ""coordinates"": [2.364132374587352, 48.894091652669815]}";48.8940916527, 2.36413237459
41;VERGER EE TURENNE (54);54 RUE DE TURENNE;75003;5;2015 - 2016;Ecole élémentaire;Ecole élémentaire Turenne;3ème;"{""type"": ""Point"", ""coordinates"": [2.365040525539838, 48.85856954817847]}";48.8585695482, 2.36504052554
45;VERGER EM TANGER (15);15 RUE DE TANGER;75019;5;2016 - 2017;Ecole maternelle;Ecole maternelle Tanger;19ème;"{""type"": ""Point"", ""coordinates"": [2.367494668743539, 48.885386325785994]}";48.8853863258, 2.36749466874
53;VERGER EE BRUXELLES (32);32 RUE DE BRUXELLES;75009;19;2016 - 2017;Ecole élémentaire;Ecole élémentaire Bruxelles;9ème;"{""type"": ""Point"", ""coordinates"": [2.32868296965084, 48.88334347211067]}";48.8833434721, 2.32868296965
55;VERGER EP BOULAINVILLIERS/GROS;18 RUE GROS;75016;12;2015 - 2016;Ecole polyvalente;Ecole polyvalente Rue Gros;16ème;"{""type"": ""Point"", ""coordinates"": [2.276206133360058, 48.85159729224232]}";48.8515972922, 2.27620613336
64;VERGER EM CHARDON LAGACHE (64) - Phase 1;64 RUE CHARDON LAGACHE;75016;9;2016 - 2017;Ecole maternelle;Ecole maternelle Chardon Lagache;16ème;"{""type"": ""Point"", ""coordinates"": [2.2640105939873703, 48.84243405562555]}";48.8424340556, 2.26401059399
76;VERGER EM ARISTIDE MAILLOL (15);15 RUE ARISTIDE MAILLOL;75015;2;2015 - 2016;Ecole maternelle;Ecole maternelle Maillol;15ème;"{""type"": ""Point"", ""coordinates"": [2.312413803046872, 48.83808594781969]}";48.8380859478, 2.31241380305
88;VERGER EM ECLUSES ST MARTIN (28);28 RUE DES ECLUSES ST MARTIN;75010;14;2015 - 2016;Ecole maternelle;Ecole maternelle Ecluses St Martin;10ème;"{""type"": ""Point"", ""coordinates"": [2.366473241576671, 48.877421934365415]}";48.8774219344, 2.36647324158
99;VERGER EE BOILEAU (17-23);17 RUE BOILEAU;75016;11;2016 - 2017;Ecole élémentaire;Ecole élémentaire Boileau;16ème;"{""type"": ""Point"", ""coordinates"": [2.265350670263142, 48.84613525705826]}";48.8461352571, 2.26535067026
